,Unnamed: 0,file,internet,leur,present,75015,inform,abon,cook,societ,donne,boissieu,san,lien,suiv,fair,ordin,legal,client,tous,etre,lor,ver,cet,ains,titr,public,permet,engag,reserv,respect,propriet,not,general,realis,objet,navig,offre
0,0,0000.txt,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.1923076923076923,0.2307692307692307,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.1153846153846153,0.0,0.1153846153846153,0.0,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0
1,1,0001.txt,0.1379310344827586,0.0,0.1034482758620689,0.1379310344827586,0.1034482758620689,0.1724137931034483,0.1379310344827586,0.1034482758620689,0.1034482758620689,0.0,0.1379310344827586,0.1034482758620689,0.0,0.0,0.1034482758620689,0.0,0.0,0.0,0.0,0.1034482758620689,0.1034482758620689,0.0,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.0,0.1034482758620689,0.0,0.1034482758620689,0.1034482758620689,0.0,0.0,0.0,0.0,0.1034482758620689
2,2,0002.txt,0.0,0.16,0.12,0.16,0.12,0.2,0.12,0.12,0.08,0.16,0.16,0.12,0.12,0.12,0.08,0.08,0.12,0.08,0.12,0.08,0.0,0.08,0.08,0.08,0.08,0.12,0.08,0.0,0.0,0.0,0.0,0.08,0.12,0.08,0.08,0.08
3,3,0003.txt,0.24,0.08,0.12,0.12,0.16,0.16,0.16,0.08,0.08,0.16,0.08,0.16,0.16,0.0,0.0,0.08,0.12,0.08,0.08,0.12,0.08,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.08,0.0,0.12,0.08,0.12,0.0,0.0,0.12
4,4,0004.txt,0.1290322580645161,0.1290322580645161,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1612903225806451,0.0967741935483871,0.0,0.0967741935483871,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0,0.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0
5,5,0005.txt,0.0833333333333333,0.125,0.125,0.2083333333333333,0.2083333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.125,0.125,0.0833333333333333,0.125,0.0833333333333333,0.125,0.125,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.125,0.125,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.125
6,6,0006.txt,0.12,0.16,0.12,0.16,0.12,0.12,0.12,0.16,0.08,0.12,0.12,0.12,0.16,0.12,0.16,0.08,0.08,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7,7,0007.txt,0.08,0.12,0.16,0.16,0.12,0.0,0.12,0.12,0.12,0.12,0.16,0.12,0.12,0.08,0.12,0.16,0.08,0.12,0.08,0.0,0.12,0.0,0.08,0.08,0.12,0.08,0.08,0.08,0.12,0.12,0.08,0.0,0.12,0.0,0.08,0.12
8,8,0008.txt,0.2,0.16,0.08,0.08,0.16,0.2,0.16,0.12,0.12,0.16,0.16,0.08,0.16,0.12,0.12,0.12,0.08,0.12,0.08,0.08,0.12,0.12,0.12,0.12,0.08,0.08,0.0,0.12,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.12
9,9,0009.txt,0.1304347826086956,0.1739130434782608,0.0869565217391304,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.1739130434782608,0.1739130434782608,0.0869565217391304,0.1304347826086956,0.1739130434782608,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.0,0.1304347826086956,0.1304347826086956,0.0869565217391304,0.1304347826086956,0.0,0.0,0.0869565217391304,0.1304347826086956,0.0,0.0,0.0,0.0869565217391304,0.0869565217391304
